"Id","Title","Excerpt","Description","Synonyms","Variations","Categories"
"","Donar an Hindar","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/donar_an_hindar.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Donar an Hindar</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 2.
<span class=""keyword bloodthirst"">Bloodthirst</span> 2: Damage an enemy unit by 4 instead.
","","","gwent_card"
"","Draig Bon-Dhu","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/draig_bondhu.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Draig Bon-Dhu</strong>

<em>Human</em>

<span class=""keyword deploy"">Deploy</span>: Boost all allied Warrior units by 1.
","","","gwent_card"
"","Gremist","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/gremist.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Gremist</strong>

<em>Human, Druid</em>

<span class=""keyword zeal"">Zeal</span>. <span class=""keyword order"">Order</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword purify"">Purify</span> a unit.
Refresh this ability whenever you play an Alchemy card.
","","","gwent_card"
"","Holger Blackhand","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/holger_blackhand.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Holger Blackhand</strong>

<em>Human, Pirate</em>

Whenever you play a Ship, boost it by 1.
Whenever you play a Pirate, damage a random enemy unit by 1.
","","","gwent_card"
"","Jutta an Dimun","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/jutta_an_dimun.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Jutta an Dimun</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span>: If Jutta an Dimun is the highest unit, damage self by 6.
","","","gwent_card"
"","Morkvarg","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/morkvarg.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Morkvarg</strong>

<em>Beast, Cursed</em>

If this unit moves to the graveyard during the round, <span class=""keyword summon"">Summon</span> it to the melee row and give it <span class=""keyword doomed"">Doomed</span>.
","","","gwent_card"
"","Savage Bear","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/savage_bear.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Savage Bear</strong>

<em>Beast</em>

<span class=""keyword zeal"">Zeal</span>.
<span class=""keyword Deploy"">Deploy</span>: Gain 1 <span class=""keyword charge"">Charge</span> for each Savage Bear in your graveyard.
<span class=""keyword order"">Order</span>: Give <span class=""keyword bleeding"">Bleeding</span> 2 to an enemy unit.
<span class=""keyword charge"">Charge</span>: 1.
","","","gwent_card"
"","Sigrdrifa's Rite","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/sigrdrifas_rite.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Sigrdrifa's Rite</strong>

<em>Alchemy</em>

<span class=""keyword summon"">Summon</span> a Skellige unit from your graveyard into an allied row.
","Sigrdrifas Rite","","gwent_card"
"","Svanrige Tuirseach","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/svanrige_tuirseach.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Svanrige Tuirseach</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span>, <span class=""keyword bloodthirst"">Bloodthirst</span> 3: Boost self by 5.
","Svanrige","","gwent_card"
"","Udalryk an Brokvar","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/udalryk_an_brokvar.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Udalryk an Brokvar</strong>

<em>Human, Cursed</em>

<span class=""keyword order"">Order</span>: Damage a unit by 1.
<span class=""keyword charge"">Charge</span>: 3.
<span class=""keyword bloodthirst"">Bloodthirst</span> 2: Gain <span class=""keyword zeal"">Zeal</span>.
","Udalryk","","gwent_card"
"","Svalblod Ravager","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/svalblod_ravager.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Svalblod Ravager</strong>

<em>Human, Cultist, Warrior</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Damage an enemy unit by 2.
<span class=""keyword bloodthirst"">Bloodthirst</span> 2: Give it <span class=""keyword bleeding"">Bleeding</span> for 2 turns.
","","","gwent_card"
"","Svalblod Butcher","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/svalblod_butcher.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Svalblod Butcher</strong>

<em>Human, Cultist, Warrior</em>

<span class=""keyword deploy"">Deploy</span>: Damage an allied unit by 2, then give an enemy unit <span class=""keyword bleeding"">Bleeding</span> for 3 turns.
","","","gwent_card"
"","An Craite Warrior","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/an_craite_warrior.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>An Craite Warrior</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 1. If played from the graveyard, damage it by 3 instead.
","","","gwent_card"
"","Brokvar Hunter","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/brokvar_hunter.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Brokvar Hunter</strong>

<em>Human, Warrior</em>

<span class=""keyword order"">Order</span>: Damage a unit by 1.
<span class=""keyword cooldown"">Cooldown</span>: 2.
Whenever you <span class=""keyword discard"">Discard</span> a card, reduce <span class=""keyword cooldown"">Cooldown</span> by 1.
","","","gwent_card"
"","Dimun Pirate","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dimun_pirate.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dimun Pirate</strong>

<em>Human, Pirate</em>

<span class=""keyword deploy"">Deploy</span>: Move the top card in your deck to your graveyard.
","","","gwent_card"
"","Dimun Pirate Captain","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dimun_pirate_captain.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dimun Pirate Captain</strong>

<em>Human, Pirate</em>

<span class=""keyword Deploy"">Deploy</span>: Damage an enemy unit by 1.
<span class=""keyword Bloodthirst"">Bloodthirst</span> 2: Damage it by 3 instead.
","","","gwent_card"
"","Drummond Queensguard","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/drummond_queensguard.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Drummond Queensguard</strong>

<em>Human, Warrior</em>

<span class=""keyword order"">Order</span>, <span class=""keyword berserk"">Berserk</span> 3: <span class=""keyword spawn"">Spawn</span> a base copy of self and <span class=""keyword summon"">Summon</span> it in the same row.
","","","gwent_card"
"","Heymaey Skald","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/heymaey_skald.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Heymaey Skald</strong>

<em>Human</em>

<span class=""keyword Deploy"">Deploy</span>: Draw a card, then <span class=""keyword discard"">Discard</span> a card.
","","","gwent_card"
"","Dimun Light Longship","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dimun_light_longship.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dimun Light Longship</strong>

<em>Machine, Ship</em>

<span class=""keyword zeal"">Zeal</span>.
<span class=""keyword order"">Order</span> (<span class=""keyword ranged"">Ranged</span>): Damage self and an enemy unit by 1.
<span class=""keyword cooldown"">Cooldown</span>: 1.
","","","gwent_card"
"","Freya's Blessing","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/freyas_blessing.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Freya's Blessing</strong>

<em>Alchemy</em>

Play a bronze Skellige unit from your graveyard and give it <span class=""keyword doomed"">Doomed</span>.
","Freyas Blessing","","gwent_card"
"","An Craite Blacksmith","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/an_craite_blacksmith.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>An Craite Blacksmith</strong>

<em>Human</em>

<span class=""keyword order"">Order</span>: Boost an allied unit by 1. 
<span class=""keyword charge"">Charge</span>: 1.
Gain 1 <span class=""keyword charge"">Charge</span> whenever you play a Warrior.
","","","gwent_card"
"","Tuirseach Axeman","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/tuirseach_axeman.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Tuirseach Axeman</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Destroy an enemy unit with half or less than half of its base power.
","","","gwent_card"
"","Tuirseach Skirmisher","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/tuirseach_skirmisher.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Tuirseach Skirmisher</strong>

<em>Human, Warrior</em>

When this unit is <span class=""keyword discard"">Discarded</span>, <span class=""keyword summon"">Summon</span> it from your graveyard to the melee row.
","","","gwent_card"
"","An Craite Longship","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/an_craite_longship.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>An Craite Longship</strong>

<em>Machine, Ship</em>

<span class=""keyword melee"">Melee</span>: Whenever your opponent plays a unit, deal 1 damage to it.
","","","gwent_card"
"","Brokvar Archer","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/brokvar_archer.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Brokvar Archer</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Damage an enemy unit by the amount of damaged units on their side.
","","","gwent_card"
"","Gutting Slash","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/gutting_slash.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Gutting Slash</strong>

<em></em>

Damage a unit by 4. 
<span class=""keyword bloodthirst"">Bloodthirst</span> 2: Damage a unit by 6 instead.
","","","gwent_card"
"","An Craite Armorsmith","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/an_craite_armorsmith.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>An Craite Armorsmith</strong>

<em>Human</em>

<span class=""keyword deploy"">Deploy</span>: Boost an allied unit by 2. If it's damaged, boost it by 4 instead.
","","","gwent_card"
"","Drummond Shieldmaiden","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/drummond_shieldmaiden.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Drummond Shieldmaiden</strong>

<em>Human, Warrior</em>

When this unit is damaged, <span class=""keyword summon"">Summon</span> all copies of it from your deck to this row.
","","","gwent_card"
"","Hemdall","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/hemdall.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Hemdall</strong>

<em>Human, Warrior</em>

<span class=""keyword deploy"">Deploy</span>: Deal 1 damage to random enemy units in a row, multiplied by the number of units in that row.
","","","gwent_card"
"","Delirium","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/delirium.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Delirium</strong>

<em>Alchemy</em>

Split 6 damage randomly between all units on an enemy row.
","","","gwent_card"
"","Elder Bear","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/elder_bear.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Elder Bear</strong>

<em>Beast</em>

No ability.
","","","gwent_card"
"","Raging Bear","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/raging_bear.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Raging Bear</strong>

<em>Beast</em>

<span class=""keyword deploy"">Deploy</span>: Damage an allied unit by 2.
","","","gwent_card"
"","Restore","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/restore.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Restore</strong>

<em>Alchemy</em>

<span class=""keyword heal"">Heal</span> an allied unit, then boost it by the amount it was healed.
","","","gwent_card"
"","Lacerate","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/lacerate.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Lacerate</strong>

<em>Organic</em>

Damage all units on a row by 2.
","","","gwent_card"
"","Letho of Gulet","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/letho_of_gulet.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Letho of Gulet</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: If Auckes is in your hand, <span class=""keyword lock"">Lock</span> an enemy unit. If Serrit is in your hand, damage an enemy unit by 3. If both are in your hand, <span class=""keyword lock"">Lock</span> a unit and damage it by 3.
","","","gwent_card"
"","Menno Coehoorn","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/menno_coehoorn.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Menno Coehoorn</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Play a Tactic card from your deck.
","Menno","","gwent_card"
"","Vattier de Rideaux","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vattier_de_rideaux.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vattier de Rideaux</strong>

<em>Human, Agent, Aristocrat</em>

<span class=""keyword order"">Order</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword seize"">Seize</span> a <span class=""keyword lock"">Locked</span> enemy unit.
","","","gwent_card"
"","Cahir Dyffryn","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/cahir_dyffryn.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Cahir Dyffryn</strong>

<em>Human, Soldier, Knight, Aristocrat</em>

<span class=""keyword melee"">Melee</span>: Whenever an enemy receives a boost, boost self by the same amount.
","","","gwent_card"
"","Vilgefortz","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vilgefortz.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vilgefortz</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Destroy an enemy unit, then your opponent <span class=""keyword summon"">Summons</span> the top unit from their deck to a random enemy row.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Destroy an allied unit, then <span class=""keyword summon"">Summon</span> the top unit from your deck to a random allied row.
","","","gwent_card"
"","Stefan Skellen","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/stefan_skellen.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Stefan Skellen</strong>

<em>Human, Agent</em>

<span class=""keyword order"">Order</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword spawn"">Spawn</span> and play a copy of the last Tactic card you played this round.
","Stefan","","gwent_card"
"","Tibor Eggebracht","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/tibor_eggebracht.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Tibor Eggebracht</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span>: Your opponent <span class=""keyword summon"">Summons</span> the top unit from their deck to a random enemy row.
","","","gwent_card"
"","Xarthisius","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/xarthisius.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Xarthisius</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword reveal"">Reveal</span> a random card in your deck. If it's a unit, boost self by its power and shuffle it back. If it's an artifact or a special card, play it.
","","","gwent_card"
"","Albrich","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/albrich.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Albrich</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Move any card from your deck to the top. If it's a unit, boost it by 2.
","","","gwent_card"
"","Assire var Anahid","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/assire_var_anahid.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Assire var Anahid</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Shuffle a card from the opponent's graveyard into their deck.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Shuffle a card from your graveyard into your deck.
","Assire","","gwent_card"
"","Cynthia","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/cynthia.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Cynthia</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword spawn"">Spawn</span> The Guardian and place it at the top of your opponent's deck.
","","","gwent_card"
"","Peter Saar Gwynleve","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/peter_saar_gwynleve.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Peter Saar Gwynleve</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword reset"">Reset</span> a unit.
","Peter","","gwent_card"
"","Fringilla Vigo","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/fringilla_vigo.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Fringilla Vigo</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 2. Increase the number of targets by 1 for each adjacent Mage.
","","","gwent_card"
"","Sweers","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/sweers.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Sweers</strong>

<em>Human, Soldier, Knight</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword seize"">Seize</span> an enemy unit with 3 or less power.
","","","gwent_card"
"","Vanhemar","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vanhemar.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vanhemar</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Destroy a <span class=""keyword lock"">Locked</span> enemy unit.
","","","gwent_card"
"","Auckes","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/auckes.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Auckes</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword lock"">Lock</span> an enemy unit.
If Serrit is in your hand, <span class=""keyword lock"">Lock</span> all copies of that unit on the opponent's side.
","","","gwent_card"
"","Serrit","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/serrit.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Serrit</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 2. If Auckes is in your hand, damage that unit by 4 instead.
","","","gwent_card"
"","Cantarella","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/cantarella.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Cantarella</strong>

<em>Human, Agent</em>

<span class=""keyword spying"">Spying</span>.
<span class=""keyword deploy"">Deploy</span>: Play the top card from your opponent's deck.
","","","gwent_card"
"","Joachim de Wett","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/joachim_de_wett.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Joachim de Wett</strong>

<em>Human, Soldier, Aristocrat</em>

<span class=""keyword spying"">Spying</span>.
<span class=""keyword deploy"">Deploy</span>: Play the top non-<span class=""keyword spying"">Spying</span> unit from your deck, then boost it by 8.
","","","gwent_card"
"","False Ciri","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/false_ciri.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>False Ciri</strong>

<em>Human, Agent</em>

<span class=""keyword Deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Move an enemy unit to the other row.
<span class=""keyword Deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Boost an Agent by 3.
","","","gwent_card"
"","Ceallach Dyffryn","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ceallach_dyffryn.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ceallach Dyffryn</strong>

<em>Human, Aristocrat</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword purify"">Purify</span> all allied units on this row.
","","","gwent_card"
"","Daerlan Soldier","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/daerlan_soldier.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Daerlan Soldier</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword spawn"">Spawn</span> a base copy of this unit and <span class=""keyword summon"">Summon</span> it to this row.
","","","gwent_card"
"","Rot Tosser","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/rot_tosser.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Rot Tosser</strong>

<em>Machine</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword spawn"">Spawn</span> and play a Cow Carcass.
","","","gwent_card"
"","Spotter","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/spotter.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Spotter</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword reveal"">Reveal</span> a random unit from your opponent's deck and boost self by its power.
","","","gwent_card"
"","Experimental Remedy","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/experimental_remedy.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Experimental Remedy</strong>

<em>Tactic</em>

Play a Bronze unit from your opponent's graveyard.
","","","gwent_card"
"","Deithwen Arbalest","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/deithwen_arbalest.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Deithwen Arbalest</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword banish"">Banish</span> a card from your opponent's graveyard.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword banish"">Banish</span> a card from your graveyard.
","","","gwent_card"
"","Fire Scorpion","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/fire_scorpion.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Fire Scorpion</strong>

<em>Machine</em>

<span class=""keyword order"">Order</span>: Damage a unit by 1. 
<span class=""keyword charge"">Charge</span>: 1.
Gain 1 <span class=""keyword charge"">Charge</span> whenever you play a Tactic card.
","","","gwent_card"
"","Impera Brigade","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/impera_brigade.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Impera Brigade</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword summon"">Summon</span> all copies of this unit from your deck to this row.
","","","gwent_card"
"","Impera Enforcers","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/impera_enforcers.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Impera Enforcers</strong>

<em>Human, Soldier</em>

<span class=""keyword order"">Order</span> (<span class=""keyword ranged"">Ranged</span>): Damage an enemy unit by 2. 
<span class=""keyword charge"">Charge</span>: 1. 
Gain 1 <span class=""keyword charge"">Charge</span> whenever you play a <span class=""keyword spying"">Spying</span> unit.
","","","gwent_card"
"","Nauzicaa Sergeant","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/nauzicaa_sergeant.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Nauzicaa Sergeant</strong>

<em>Human, Soldier</em>

Whenever you play a unit with <span class=""keyword deploy"">Deploy</span>, boost self by 1.
","","","gwent_card"
